ID_x,Type,Price Area,Currency Type,Spot ID,ID_y,Parent ID,Is Complex,Spot Type ID,square_space,zip_code_id,longitude,updated_at_x,deleted_at_x,latitude,created_at_x,zip_codes_id,zip_codes_state_id,zip_codes_municipality,zip_codes_city,rate,max_rate,created_at_y,updated_at_y,deleted_at_y,user_id,type_of_space,space_category
19625,1,2,1,22536,22536,,0,9,5134.0,67634,99.2226829,2024-02-01 11:14:00,,19.4699587,2024-02-01 11:14:00,67634,15,Naucalpan de Juárez,Naucalpan de Juárez,260.0,,2024-02-01 11:14:00,2024-03-19 20:48:00,,8524,individual_space,Industrial
19626,1,2,2,22537,22537,,1,11,1121.0,29150,99.1885424,2024-02-01 11:58:00,,19.432164,2024-02-01 11:47:00,29150,7,Miguel Hidalgo,Ciudad de México,30.0,,2024-02-01 11:47:00,2024-04-17 23:24:00,,9541,multi_tenant,Office
19627,1,2,2,22538,22538,,1,11,3950.0,29150,99.1860116,2024-02-01 14:17:00,,19.4319472,2024-02-01 11:52:00,29150,7,Miguel Hidalgo,Ciudad de México,29.0,,2024-02-01 11:52:00,2024-04-17 23:24:00,,9541,multi_tenant,Office
19628,1,2,2,22539,22539,"22,538",0,11,1050.0,0,,2024-02-01 11:54:00,,,2024-02-01 11:54:00,0,0,None,None,29.0,,2024-02-01 11:54:00,2024-04-17 23:24:00,,9541,sub_space,Office
19629,1,1,2,22540,22540,"22,538",0,11,2344.0,0,,2024-02-01 11:54:00,,,2024-02-01 11:54:00,0,0,None,None,29.0,,2024-02-01 11:54:00,2024-04-17 23:24:00,,9541,sub_space,Office
19630,1,2,2,22541,22541,"22,538",0,11,572.0,0,,2024-02-01 11:55:00,,,2024-02-01 11:55:00,0,0,None,None,28.0,,2024-02-01 11:55:00,2024-04-17 23:24:00,,9541,sub_space,Office
19631,1,2,1,22542,22542,,1,11,207.0,40832,101.63337223,2024-02-01 12:24:00,,21.15025954,2024-02-01 12:24:00,40832,11,León,León de los Aldama,6500.0,40000.0,2024-02-01 12:24:00,2024-05-05 10:00:00,,12294,multi_tenant,Office
19632,1,2,1,22543,22543,"20,386",0,9,2070.0,0,,2024-02-01 12:29:00,,,2024-02-01 12:29:00,0,0,None,None,140.0,,2024-02-01 12:29:00,2024-03-20 12:40:00,,8524,sub_space,Industrial
19633,1,2,1,22544,22544,,0,11,76.0,41470,101.59719432,2024-02-01 12:41:00,,21.08246806,2024-02-01 12:41:00,41470,11,León,León de los Aldama,10500.0,,2024-02-01 12:41:00,2024-02-01 12:42:00,2024-02-01 12:56:00,12294,individual_space,Office
19634,2,2,1,22544,22544,,0,11,76.0,41470,101.59719432,2024-02-01 12:41:00,,21.08246806,2024-02-01 12:41:00,41470,11,León,León de los Aldama,1360000.0,,2024-02-01 12:41:00,2024-02-01 12:42:00,2024-02-01 12:56:00,12294,individual_space,Office
19635,1,2,1,22545,22545,,1,11,1706.0,28402,99.1716686,2024-02-01 12:47:00,,19.3950072,2024-02-01 12:47:00,28402,7,Benito Juárez,Ciudad de México,350.0,,2024-02-01 12:47:00,2024-03-19 20:48:00,,10118,multi_tenant,Office
19636,1,2,1,22546,22546,"22,545",0,11,653.0,0,,2024-02-01 12:51:00,,,2024-02-01 12:51:00,0,0,None,None,350.0,,2024-02-01 12:51:00,2024-02-01 12:51:00,,10118,sub_space,Office
19637,1,2,1,22547,22547,"22,545",0,11,406.0,0,,2024-02-01 12:51:00,,,2024-02-01 12:51:00,0,0,None,None,350.0,,2024-02-01 12:51:00,2024-02-01 12:51:00,,10118,sub_space,Office
19638,1,2,1,22548,22548,"22,545",0,11,459.0,0,,2024-02-01 12:52:00,,,2024-02-01 12:52:00,0,0,None,None,350.0,,2024-02-01 12:52:00,2024-02-01 12:52:00,,10118,sub_space,Office
19639,1,2,1,22549,22549,"22,545",0,11,188.0,0,,2024-02-01 12:54:00,,,2024-02-01 12:54:00,0,0,None,None,350.0,,2024-02-01 12:54:00,2024-02-01 12:54:00,,10118,sub_space,Office
19640,1,2,1,22550,22550,,1,11,615.0,28441,99.1719523,2024-02-01 12:58:00,,19.396707,2024-02-01 12:58:00,28441,7,Benito Juárez,Ciudad de México,350.0,,2024-02-01 12:58:00,2024-03-19 20:48:00,,10118,multi_tenant,Office
19641,1,2,1,22551,22551,"22,550",0,11,615.0,0,,2024-02-01 13:08:00,,,2024-02-01 13:08:00,0,0,None,None,350.0,,2024-02-01 13:08:00,2024-02-01 13:08:00,,10118,sub_space,Office
19642,1,2,1,22552,22552,,1,11,1163.0,28407,99.1722933,2024-02-01 13:16:00,,19.3931919,2024-02-01 13:16:00,28407,7,Benito Juárez,Ciudad de México,350.0,,2024-02-01 13:16:00,2024-03-19 20:48:00,,10118,multi_tenant,Office
19643,1,2,1,22553,22553,"22,552",0,11,494.0,0,,2024-02-01 13:22:00,,,2024-02-01 13:22:00,0,0,None,None,350.0,,2024-02-01 13:22:00,2024-02-01 13:22:00,,10118,sub_space,Office
19644,1,2,1,22554,22554,"22,552",0,11,139.0,0,,2024-02-01 13:25:00,,,2024-02-01 13:25:00,0,0,None,None,350.0,,2024-02-01 13:25:00,2024-02-01 13:25:00,,10118,sub_space,Office
19645,1,2,1,22555,22555,"22,552",0,11,373.0,0,,2024-02-01 13:25:00,,,2024-02-01 13:25:00,0,0,None,None,350.0,,2024-02-01 13:25:00,2024-02-01 13:25:00,,10118,sub_space,Office
19646,1,2,1,22556,22556,"22,552",0,11,157.0,0,,2024-02-01 13:26:00,,,2024-02-01 13:26:00,0,0,None,None,350.0,,2024-02-01 13:26:00,2024-02-01 13:26:00,,10118,sub_space,Office
19647,1,2,2,22557,22557,,1,11,2389.0,28402,99.17222457,2024-02-01 13:36:00,,19.3921943,2024-02-01 13:36:00,28402,7,Benito Juárez,Ciudad de México,27.0,,2024-02-01 13:36:00,2024-03-19 20:48:00,,10118,multi_tenant,Office
19648,1,2,2,22558,22558,"22,557",0,11,162.0,0,,2024-02-01 13:38:00,,,2024-02-01 13:38:00,0,0,None,None,27.0,,2024-02-01 13:38:00,2024-02-01 13:38:00,,10118,sub_space,Office
19649,1,2,2,22559,22559,"22,557",0,11,73.0,0,,2024-02-01 13:39:00,,,2024-02-01 13:39:00,0,0,None,None,27.0,,2024-02-01 13:39:00,2024-02-01 13:39:00,,10118,sub_space,Office
19650,1,2,2,22560,22560,"22,557",0,11,1077.0,0,,2024-02-01 13:40:00,,,2024-02-01 13:40:00,0,0,None,None,27.0,,2024-02-01 13:40:00,2024-02-01 13:40:00,,10118,sub_space,Office
19651,1,2,2,22561,22561,"22,557",0,11,1077.0,0,,2024-02-01 13:41:00,,,2024-02-01 13:41:00,0,0,None,None,27.0,,2024-02-01 13:41:00,2024-02-01 13:41:00,,10118,sub_space,Office
19652,1,1,1,22562,22562,,0,13,100.0,67076,99.4677668,2024-04-11 12:48:00,,19.1824713,2024-02-01 13:48:00,67076,15,Tianguistenco,None,30000.0,32000.0,2024-02-01 13:48:00,2024-04-11 12:48:00,,12302,individual_space,Retail/Commercial
19653,1,2,2,22563,22563,,1,11,17459.0,28089,99.1603036,2024-02-27 16:43:00,,19.4291506,2024-02-01 14:06:00,28089,7,Álvaro Obregón,Ciudad de México,25.5,,2024-02-01 14:06:00,2024-02-28 13:35:00,,10118,multi_tenant,Office
19654,1,2,2,22564,22564,"22,563",0,11,283.0,0,,2024-02-13 13:26:00,,,2024-02-01 14:08:00,0,0,None,None,25.5,,2024-02-01 14:08:00,2024-02-13 13:26:00,,6805,sub_space,Office
19655,1,2,2,22565,22565,"22,563",0,11,800.0,0,,2024-02-01 14:08:00,,,2024-02-01 14:08:00,0,0,None,None,26.0,,2024-02-01 14:08:00,2024-02-01 14:08:00,,10118,sub_space,Office
19656,1,2,2,22566,22566,"22,563",0,11,179.0,0,,2024-02-01 14:09:00,,,2024-02-01 14:09:00,0,0,None,None,26.0,,2024-02-01 14:09:00,2024-02-01 14:09:00,,10118,sub_space,Office
19657,1,2,2,22567,22567,"22,563",0,11,800.0,0,,2024-02-01 14:10:00,,,2024-02-01 14:10:00,0,0,None,None,26.0,,2024-02-01 14:10:00,2024-02-01 14:10:00,,10118,sub_space,Office
19658,1,2,2,22568,22568,"22,563",0,11,339.0,0,,2024-02-01 14:12:00,,,2024-02-01 14:12:00,0,0,None,None,26.0,,2024-02-01 14:12:00,2024-02-01 14:12:00,,10118,sub_space,Office
19659,1,2,2,22569,22569,"22,563",0,11,541.0,0,,2024-02-01 14:13:00,,,2024-02-01 14:13:00,0,0,None,None,26.0,,2024-02-01 14:13:00,2024-02-01 14:13:00,,10118,sub_space,Office
19660,1,2,2,22570,22570,"22,563",0,11,54.0,0,,2024-02-01 14:13:00,,,2024-02-01 14:13:00,0,0,None,None,26.0,,2024-02-01 14:13:00,2024-02-01 14:13:00,,10118,sub_space,Office
19661,1,2,1,22571,22571,,1,11,4001.0,28100,99.1899485,2024-02-13 13:06:00,,19.3418502,2024-02-01 14:21:00,28100,7,Álvaro Obregón,Ciudad de México,350.0,,2024-02-01 14:21:00,2024-02-28 13:35:00,,10118,multi_tenant,Office
19662,2,1,1,22572,22572,,0,15,1300.0,102638,100.3259337,2024-02-01 15:15:00,,20.5709659,2024-02-01 14:39:00,102638,22,El Marqués,None,6500000.0,,2024-02-01 14:39:00,2024-04-01 10:00:00,,11038,individual_space,Field
19663,1,2,1,22573,22573,"22,571",0,11,434.0,0,,2024-02-01 14:47:00,,,2024-02-01 14:47:00,0,0,None,None,350.0,,2024-02-01 14:47:00,2024-02-06 11:44:00,,10118,sub_space,Office
